"Restaurant Depot #506",,"Customer# 50608066"
"3670 E Marginal Way South",,"THE BERLINER DONER KEBAB"
"Seattle, WA 98134",,"221,1ST AVE S"
"(206) 381-1555",,"SEATTLE, WA 981042503           "

"Receipts Summary"
Invoice,Terminal,Date,Sub-Total
6948,60,"03/06/2023 7:17 am","$1,479.91"
120680,60,"03/13/2023 8:32 am"," -$100.88"
12666,12,"03/13/2023 12:00 am",$193.49
7005,60,"03/13/2023 6:51 am","$2,055.17"
120838,60,"03/20/2023 8:12 am"," -$4.82"
120838,60,"03/20/2023 8:12 am"," -$319.69"
13492,12,"03/20/2023 12:00 am"," -$293.63"
4089,60,"03/20/2023 6:51 am","$2,323.29"
27595,60,"03/27/2023 6:36 am","$2,153.45"
15762,12,"04/03/2023 12:00 am",$12.79
22427,60,"05/08/2023 7:14 am","$1,901.52"
122136,60,"05/15/2023 1:41 pm"," -$474.47"
23445,15,"05/15/2023 12:00 am","$3,277.17"
24454,15,"05/22/2023 12:00 am",$534.40
24449,60,"05/22/2023 8:56 am","$1,982.03"
7463,13,"05/30/2023 12:00 am",$88.74
26660,60,"06/19/2023 8:11 am","$2,500.72"
27097,60,"06/25/2023 3:07 pm","$2,648.53"
4357,13,"06/26/2023 12:00 am",$8.13
27660,60,"07/03/2023 10:18 am","$1,612.02"
28327,60,"07/10/2023 8:38 am","$2,669.89"
123667,60,"07/15/2023 1:03 pm"," -$64.19"
151,60,"08/07/2023 11:41 am","$2,376.77"
363,60,"08/14/2023 10:00 am","$2,243.14"
830,60,"08/21/2023 7:47 am","$2,428.98"
1051,60,"08/28/2023 7:47 am","$2,559.69"
2290,60,"10/02/2023 11:07 am","$1,962.07"
17287,14,"10/03/2023 12:00 am",$565.60
2822,60,"10/09/2023 6:27 am","$2,486.93"
3175,60,"10/16/2023 10:58 am","$2,442.90"
3589,60,"10/24/2023 8:17 am","$2,371.50"
4045,60,"10/30/2023 9:47 am","$2,425.09"
6843,60,"12/04/2023 8:08 am","$1,392.40"
23652,60,"12/05/2023 8:28 am",$875.05
7290,60,"12/11/2023 9:09 am","$1,914.33"
7734,60,"12/18/2023 9:29 am","$1,302.44"
25150,14,"12/19/2023 12:00 am",$782.53
8312,60,"12/26/2023 2:36 pm","$1,402.55"
21452,60,"02/06/2023 7:27 am","$2,159.32"
8516,60,"02/13/2023 7:48 am","$1,404.16"
21053,11,"02/20/2023 12:00 am",$279.89
22872,13,"02/20/2023 12:00 am",$17.41
6827,60,"02/20/2023 7:18 am","$1,797.42"
23602,13,"02/27/2023 12:00 am",$25.89
10478,60,"02/27/2023 6:47 am","$1,760.48"
19424,60,"04/03/2023 8:06 am","$1,906.51"
19893,60,"04/10/2023 7:36 am","$1,565.15"
121533,60,"04/17/2023 8:27 am"," -$29.52"
20707,15,"04/17/2023 12:00 am",$47.81
7102,60,"04/17/2023 6:46 am","$1,604.32"
21449,15,"04/24/2023 12:00 am","$2,217.64"
22040,60,"05/01/2023 8:24 am","$2,285.32"
7731,60,"05/30/2023 8:46 am","$1,586.36"
25731,60,"06/04/2023 4:06 pm","$2,045.28"
24586,12,"06/10/2023 12:00 am",$314.74
26207,60,"06/10/2023 8:25 am","$2,460.68"
2196,11,"06/19/2023 12:00 am",$33.70
28846,60,"07/15/2023 12:48 pm","$2,683.32"
29411,60,"07/23/2023 4:07 pm","$2,992.72"
9852,13,"07/31/2023 12:00 am",$577.04
29793,60,"07/31/2023 8:42 am","$3,004.06"
1223,60,"09/05/2023 11:38 am","$2,225.96"
1371,60,"09/11/2023 9:58 am","$1,840.72"
1545,60,"09/18/2023 9:08 am","$2,254.97"
17401,13,"09/19/2023 12:00 am",$175.78
1762,60,"09/25/2023 11:17 am","$2,322.34"
4274,60,"11/04/2023 8:27 am","$1,831.32"
4746,60,"11/13/2023 9:37 am","$2,134.87"
126487,60,"11/20/2023 1:49 pm"," -$73.20"
5174,60,"11/20/2023 7:57 am","$2,267.16"
126605,60,"11/27/2023 2:18 pm"," -$97.43"
5865,60,"11/27/2023 11:08 am","$1,092.06"
,,Sub-Total,"$102,429.79"


"Invoice: ","6948 Terminal: 60","03/06/2023 7:04 am"
UPC,Description,Unit,Case,Price
2060079278,"PD TOMATO ROMA XL        ",0,25," -$11.78"
3520019758,"RICE PARBOIL BAG   1/50# "," -1",0," -$34.03"
3520007554,"RICE PARBOIL CUBE  1/50# ",1,0,$35.53
0,Sub-Total,0,0,"$1,466.22"
0,"Delivery Charge",0,0,$0.00
0,Tax,0,0,$13.69
0,Total,0,0,"$1,479.91"
0,"ONLINE PAY XXXXXXXXXXXXXXXXXXXX7897",0,0,"$1,479.91"
0,Balance,0,0,$0.00
" -2","Previous Balance",0,0,$0.00
30223023791,"PD CABB RED SHRD         ",0,1,$36.49
8437004591432,"PD GARLIC SPAINPLD       ",1,0,$16.72
75321474134,"PD TOFU EXTRA FIRM       ",0,1,$18.63
2060043858,"PD LETT ROMAINE HT       ",0,1,$28.60
2060043858,"PD LETT ROMAINE HT       ",0,1,$28.60
2060043858,"PD LETT ROMAINE HT       ",0,1,$28.60
76069501695,"YOG DAHI W/M JF    5#    ",0,1,$26.80
76069501695,"YOG DAHI W/M JF    5#    ",0,1,$26.80
76069501695,"YOG DAHI W/M JF    5#    ",0,1,$26.80
20796680000,"BF HAL CHUCK ROLL        ",65,0,$315.25
20796680000,"BF HAL CHUCK ROLL        ",65,0," -$13.65"
20796680000,"BF HAL CHUCK ROLL        ",76.1,0,$353.10
20795020000,"CHX HAL THIGH CVP        ",40,0,$60.40
20795020000,"CHX HAL THIGH CVP        ",40,0,$60.40
20795020000,"CHX HAL THIGH CVP        ",40,0,$60.40
20713500000,"LAMB GROUND              ",10,0,$56.00
76069502959,"CONT#3 TO GO KRAFT 64Z   ",1,0,$72.08
4900005847,"DIET COKE          12Z   ",1,0,$19.62
